pesticide_category,product_name,product_key,raw_composition,parsed_component_count,parsed_substances,warning_codes,severity,automatic_fix_applied,requires_manual_review,notes
herbicides,Аминка,аминка-002-03-2086-1,"(600 г/л 2,4-Д (диметиламинная соль))",1,"[{""name"": ""2,4 - Д ( диметиламинная соль"", ""concentration"": 600.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Диамисоль,диамисоль-050-03-4423-1,"(600 г/л 2,4-Д (диметиламинная соль))",1,"[{""name"": ""2,4 - Д ( диметиламинная соль"", ""concentration"": 600.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Дикамин-Д,дикамин-д-607-03-3738-1,"(600 г/л 2,4-Д (диметиламинная соль)) Рейбоу Агросайенс Кфт.",1,"[{""name"": ""2,4 - Д ( диметиламинная соль ) ) Рейбоу Агросайенс Кфт"", ""concentration"": 600.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Айкон,айкон-178-03-1073-1,"(550 г/л 2,4-Д (малолетучие эфиры С7-С9))",1,"[{""name"": ""2,4 - Д ( малолетучие эфиры С7 - С9"", ""concentration"": 550.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Топтун,топтун-038-03-2110-1,"(550 г/л 2,4-Д (малолетучие эфиры С7-С9))",1,"[{""name"": ""2,4 - Д ( малолетучие эфиры С7 - С9"", ""concentration"": 550.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Эффект,эффект-046-03-4668-0,"(550 г/л 2,4-Д (малолетучие эфиры С7-С9))",1,"[{""name"": ""2,4 - Д ( малолетучие эфиры С7 - С9"", ""concentration"": 550.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Аминка ЭФ,аминка-эф-002-03-2087-1,"(550 г/л 2,4-Д (малолетучие эфиры С7-С9))",1,"[{""name"": ""2,4 - Д ( малолетучие эфиры С7 - С9"", ""concentration"": 550.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Эфирам,эфирам-130-03-2991-1,"(550 г/л 2,4-Д (малолетучие эфиры С7-С9))",1,"[{""name"": ""2,4 - Д ( малолетучие эфиры С7 - С9"", ""concentration"": 550.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Эффект,эффект-046-03-5064-0,"(550 г/л 2,4-Д (малолетучие эфиры С7-С9))",1,"[{""name"": ""2,4 - Д ( малолетучие эфиры С7 - С9"", ""concentration"": 550.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Аминка ФЛО,аминка-фло-097-03-899-1,"(550 г/л 2,4-Д (малолетучие эфиры С7-С9) + 7,4 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( малолетучие эфиры С7 - С9"", ""concentration"": 550.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 7.4, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Дива,дива-046-03-5055-1,"(550 г/л 2,4-Д (малолетучие эфиры С7-С9) + 7,4 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( малолетучие эфиры С7 - С9"", ""concentration"": 550.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 7.4, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,2,2-063-03-2788-1,"(564 г/л 2,4-Д (сложный 2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 564.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Шанс 24,шанс-24-126-03-3534-1,"(564 г/л 2,4-Д (сложный 2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 564.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Дротик,дротик-018-03-4466-1,"(400 г/л 2,4-Д (сложный 2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 400.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Эндимион,эндимион-050-03-4561-1,"(564 г/л 2,4-Д (сложный 2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 564.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Эстет,эстет-024-03-2488-1,"(600 г/л 2,4-Д (сложный 2-этилгексиловый эфир)) Нуфарм ГмбХ & КО КГ",1,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир ) ) Нуфарм ГмбХ & КО КГ"", ""concentration"": 600.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Аврорекс,аврорекс-050-03-4562-1,"(332 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 21 г/л карфентразон-этил)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 332.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""карфентразон-этил"", ""concentration"": 21.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Балерина Форте,балерина-форте-021-03-2701-1,"(300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 37,5 г/л пиклорам + 10 г/л флорасулам)",3,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""пиклорам"", ""concentration"": 37.5, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 10.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Опричник,опричник-038-03-4595-1,"(300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Статус Фло,статус-фло-192-03-3709-1,"(418 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 12 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 418.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 12.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Ассолюта Прайм,ассолюта-прайм-178-03-2429-1,"(410 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 15 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 410.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 15.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Балерина Супер,балерина-супер-021-03-2797-1,"(410 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 15 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 410.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 15.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Балерина,балерина-021-03-4447-1,"(410 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 7,4 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 410.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 7.4, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Прима КА,прима-ка-866-03-4614-1,"(300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Примадонна,примадонна-018-03-4660-0,"(200 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 3,7 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 200.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 3.7, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Пальмира,пальмира-653-03-2903-1,"(300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Примадонна Супер,примадонна-супер-018-03-4610-1,"(200 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 5 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 200.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 5.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Пришанс,пришанс-126-03-677-1,"(300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Астэрикс,астэрикс-050-03-4488-1,"(300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Ламбада,ламбада-085-03-3016-1,"(300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Флоробел,флоробел-277-03-3962-1,"(300 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Пришанс Супер,пришанс-супер-126-03-4658-1,"(285 г/л 2,4-Д (сложный 2-этилгексиловый эфир) + 30,5 г/л флуроксипир + 11,5 г/л флорасулам)",3,"[{""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 285.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флуроксипир"", ""concentration"": 30.5, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 11.5, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Чисталан экстра,чисталан-экстра-068-116-03-706-1,"(420 г/л 2,4-Д + 60 г/л дикамба (2-этилгексиловые эфиры))",2,"[{""name"": ""2,4-Д"", ""concentration"": 420.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( 2 - этилгексиловые эфиры"", ""concentration"": 60.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Чисталан,чисталан-068-116-03-726-1,"(376 г/л 2,4-Д + 54 г/л дикамба (2-этилгексиловые эфиры))",2,"[{""name"": ""2,4-Д"", ""concentration"": 376.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( 2 - этилгексиловые эфиры"", ""concentration"": 54.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Элант-Премиум,элант-премиум-043-042-03-2266-1,"(420 г/л 2,4-Д + 60 г/л дикамба (2-этилгексиловые эфиры))",2,"[{""name"": ""2,4-Д"", ""concentration"": 420.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( 2 - этилгексиловые эфиры"", ""concentration"": 60.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Биолан Супер,биолан-супер-021-03-2050-1,"(447 г/л 2,4-Д + 156 г/л дикамба (диметиламинные соли))",2,"[{""name"": ""2,4-Д"", ""concentration"": 447.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( диметиламинные соли"", ""concentration"": 156.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Диален Супер,диален-супер-041-03-1867-1,"(344 г/л 2,4-Д + 120 г/л дикамба (диметиламинные соли))",2,"[{""name"": ""2,4-Д"", ""concentration"": 344.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( диметиламинные соли"", ""concentration"": 120.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Диакем,диакем-097-03-2962-1,"(344 г/л 2,4-Д + 120 г/л дикамба (диметиламинные соли))",2,"[{""name"": ""2,4-Д"", ""concentration"": 344.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( диметиламинные соли"", ""concentration"": 120.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Диамакс,диамакс-178-03-2213-1,"(344 г/л 2,4-Д + 120 г/л дикамба (диметиламинные соли))",2,"[{""name"": ""2,4-Д"", ""concentration"": 344.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( диметиламинные соли"", ""concentration"": 120.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Дикопур Топ,дикопур-топ-024-03-2584-1,"(344 г/л 2,4-Д + 120 г/л дикамба (диметиламинные соли)) Нуфарм ГмбХ & КО КГ",2,"[{""name"": ""2,4-Д"", ""concentration"": 344.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба ( диметиламинные соли ) ) Нуфарм ГмбХ & КО КГ"", ""concentration"": 120.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Элант,элант-043-042-03-3069-1,"(564 г/л 2,4-Д кислота (2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д кислота ( 2 - этилгексиловый эфир"", ""concentration"": 564.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Аминка Трио,аминка-трио-097-03-3362-1,"(300 г/л 2,4-Д кислота (2-этилгексиловый эфир) + 51 г/л пиклорам + 6,25 г/л флорасулам)",3,"[{""name"": ""2,4 - Д кислота ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""пиклорам"", ""concentration"": 51.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Арбалет,арбалет-082-03-9761-0,"(300 г/л 2,4-Д кислота (2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д кислота ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Мидас,мидас-010-03-3469-1,"(410 г/л 2,4-Д кислота (сложный 2-этилгексиловый эфир) + 15 г/л флорасулам)",2,"[{""name"": ""2,4 - Д кислота ( сложный 2 - этилгексиловый эфир"", ""concentration"": 410.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 15.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Аминка ФЛО,аминка-фло-002-03-4928-1,"(410 г/л 2,4-Д кислота (сложный 2-этилгексиловый эфир) + 15 г/л флорасулам)",2,"[{""name"": ""2,4 - Д кислота ( сложный 2 - этилгексиловый эфир"", ""concentration"": 410.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 15.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Фемида,фемида-018-03-3943-1,"(320 г/л 2,4-Д кислота (сложный 2-этилгексиловый эфир) + 4,2 г/л хлорсульфурона)",2,"[{""name"": ""2,4 - Д кислота ( сложный 2 - этилгексиловый эфир"", ""concentration"": 320.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""хлорсульфурона"", ""concentration"": 4.2, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Чисталан,чисталан-116-03-9691-0,"(376 г/л 2,4-Д кислота + 54 г/л дикамба кислота (2-этилгексиловые эфиры))",2,"[{""name"": ""2,4 - Д кислота"", ""concentration"": 376.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба кислота ( 2 - этилгексиловые эфиры"", ""concentration"": 54.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Чисталан экстра,чисталан-экстра-116-03-9692-0,"(420 г/л 2,4-Д кислота + 60 г/л дикамба кислота (2-этилгексиловые эфиры))",2,"[{""name"": ""2,4 - Д кислота"", ""concentration"": 420.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""дикамба кислота ( 2 - этилгексиловые эфиры"", ""concentration"": 60.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Клопэфир,клопэфир-043-042-03-3075-1,"(410 г/л 2,4-Д кислота + 40 г/л клопиралид (2-этилгексиловые эфиры))",2,"[{""name"": ""2,4 - Д кислота"", ""concentration"": 410.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""клопиралид ( 2 - этилгексиловые эфиры"", ""concentration"": 40.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Фортиссимо,фортиссимо-018-03-4280-1,"(200 г/л 2,4-Д кислота(сложный 2-этилгексиловый эфир) + 10 г/л Аминопиралид + 5 г/л флорасулам))",3,"[{""name"": ""2,4 - Д кислота ( сложный 2 - этилгексиловый эфир"", ""concentration"": 200.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""Аминопиралид"", ""concentration"": 10.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 5.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,warning,no,yes,
herbicides,Дедало Элит,дедало-элит-825-03-3832-1,"(300 г/л 2,4-Д кислоты) РЕД СУРКОС С.А.",1,"[{""name"": ""2,4 - Д кислоты ) РЕД СУРКОС С.А"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Октимет Д,октимет-д-347-03-4823-1,"(564 г/л 2,4-Д кислоты (2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 564.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Октапон Экстра,октапон-экстра-116-03-9681-0,"(500 г/л 2,4-Д кислоты (2-этилгексиловый эфир))",1,"[{""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Опричник,опричник-038-03-444-1,"(300 г/л 2,4-Д кислоты (2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Люгер,люгер-606-03-3746-1,"(300 г/л 2,4-Д кислоты (2-этилгексиловый эфир) + 6,25 г/л флорасулам) Рейнбоу Кропсайенсиз Кфт.",2,"[{""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам ) Рейнбоу Кропсайенсиз Кфт"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Дисулам,дисулам-278-03-4104-1,"(300 г/л 2,4-Д кислоты (2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Кирасир,кирасир-854-682-03-4627-0,"(410 г/л 2,4-Д кислоты (2-этилгексиловый эфир) + 7,4 г/л флорасулам)",2,"[{""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 410.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 7.4, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Октасулам,октасулам-116-03-3889-1,"(300 г/л 2,4-Д кислоты (2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
herbicides,Сварог,сварог-297-03-671-1,"(300 г/л 2,4-Д кислоты (2-этилгексиловый эфир) + 6,25 г/л флорасулам)",2,"[{""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}]",,clean,no,no,clean
