pesticide_category,product_name,product_key,raw_composition,current_parsed_substances,primary_category,warning_codes,root_cause,generic_fix_possible,source_data_corrupted,manual_review_required,action_taken,final_status,notes
herbicides,Агрошанс,агрошанс-126-03-3168-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Антарес,антарес-050-360-03-3156-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Властелин,властелин-085-03-3500-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Гербикс,гербикс-082-03-3886-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Момус,момус-178-03-3879-0,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Царумин,царумин-070-03-3840-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Момус,момус-178-03-4995-1,"(500 г/л МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей)","[{""name"": ""МЦПА кислоты ( смесь диметиламинной, калиевой, натриевой солей"", ""concentration"": 500.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Милагро Плюс,милагро-плюс-041-03-2979-1,(50 г/л никосульфурон + 220 г/л Дикамба (натриевая соль),"[{""name"": ""никосульфурон"", ""concentration"": 50.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""Дикамба ( натриевая соль"", ""concentration"": 220.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Алебарда,алебарда-197-03-4271-0,(23 г/л Пиноксаден + 23 г/л феноксапроп-П-этил + 6 г/л антидот – клоквинтосет-мексил),"[{""name"": ""Пиноксаден"", ""concentration"": 23.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""феноксапроп - П - этил"", ""concentration"": 23.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""клоквинтосет - мексил"", ""concentration"": 6.0, ""unit"": ""г/л"", ""is_antidote"": true}]",false_positive_warning,malformed_delimiters,Typography-only en dash in the antidote prefix was reported as malformed even though parsing was otherwise safe.,yes,no,no,Stopped raising malformed_delimiters for dash-character normalization alone.,clean_after_fix,False positive removed; normal hyphenated substance names remain protected by known-substance checks. Risk if left unchanged: Audit noise only; may distract reviewers if left unchanged.
herbicides,Аксакал Практик,аксакал-практик-002-03-4340-0,(50 г/л Пиноксаден + 50 г/л феноксапроп-П-этил + 25 г/л антидот – клоквинтосет-мексил),"[{""name"": ""Пиноксаден"", ""concentration"": 50.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""феноксапроп - П - этил"", ""concentration"": 50.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""клоквинтосет - мексил"", ""concentration"": 25.0, ""unit"": ""г/л"", ""is_antidote"": true}]",false_positive_warning,malformed_delimiters,Typography-only en dash in the antidote prefix was reported as malformed even though parsing was otherwise safe.,yes,no,no,Stopped raising malformed_delimiters for dash-character normalization alone.,clean_after_fix,False positive removed; normal hyphenated substance names remain protected by known-substance checks. Risk if left unchanged: Audit noise only; may distract reviewers if left unchanged.
herbicides,Анкор-85,анкор-85-111-03-2523-1,(750 г/кг Сульфометурон-метила кислота (калиевая соль),"[{""name"": ""Сульфометурон - метила кислота ( калиевая соль"", ""concentration"": 750.0, ""unit"": ""г/кг"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,"Тербутилазин + 2,4-Д кислота (2-этилгексиловый эфир) + клопиралид (2-этилгексиловый эфир) + никосульфурон Корнеги Плюс",тербутилазин-2-4-д-кислота-2-этилгексиловый-эфир-клопиралид-2-этилгексиловый-эфир-никосульфурон-корнеги-плюс-018-03-4646-1,"(250 г/л тербутилазин + 80 г/л 2,4-Д кислота (2-этилгексиловый эфир)","[{""name"": ""тербутилазин"", ""concentration"": 250.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""2,4 - Д кислота ( 2 - этилгексиловый эфир"", ""concentration"": 80.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,"Тербутилазин + 2,4-Д кислота (2-этилгексиловый эфир) + никосульфурон Корнеги",тербутилазин-2-4-д-кислота-2-этилгексиловый-эфир-никосульфурон-корнеги-018-03-2258-1,"(250 г/л тербутилазин + 80 г/л 2,4-Д кислота (2-этилгексиловый эфир)","[{""name"": ""тербутилазин"", ""concentration"": 250.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""2,4 - Д кислота ( 2 - этилгексиловый эфир"", ""concentration"": 80.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Зеагран 350,зеагран-350-024-03-1581-1,(250 г/л тербутилазин + 100 г/л бромоксинил (смесь эфиров октаноата и гептаноата),"[{""name"": ""тербутилазин"", ""concentration"": 250.0, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""бромоксинил ( смесь эфиров октаноата и гептаноата"", ""concentration"": 100.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Камаро,камаро-156-03-1927-1,"(6,25 г/л флорасулам + 300 г/л 2,4-Д (сложный 2-этилгексиловый эфир)","[{""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""2,4 - Д ( сложный 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,"Флорасулам + 2,4-Д кислоты (2-этилгексиловый эфир) Премьера",флорасулам-2-4-д-кислоты-2-этилгексиловый-эфир-премьера-006-03-710-1,"(6,25 г/л флорасулам + 300 г/л 2,4-Д кислоты (2-этилгексиловый эфир)","[{""name"": ""флорасулам"", ""concentration"": 6.25, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Ассолюта,ассолюта-178-03-2167-1,"(5,35 г/л флорасулам + 300 г/л 2,4-Д кислоты (2-этилгексиловый эфир)","[{""name"": ""флорасулам"", ""concentration"": 5.35, ""unit"": ""г/л"", ""is_antidote"": false}, {""name"": ""2,4 - Д кислоты ( 2 - этилгексиловый эфир"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
herbicides,Флекс,флекс-041-03-3000-1,(250 г/л Фомесафен (натриевая соль),"[{""name"": ""Фомесафен ( натриевая соль"", ""concentration"": 250.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
fungicides,БФТИМ КС-2,бфтим-кс-2-430-02-1644-1,1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2 + 1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens КС-2,[],repeated_fragment,repeated_fragment,The same composition fragment or block is repeated exactly in the source composition field.,yes,yes,yes,Generic parser deduplication keeps one identical fragment for parsed output; warning remains because source row is corrupted.,still_flagged_manual_review,"Safe automatic parser handling, but source Excel still needs review. Risk if left unchanged: Duplicate components could confuse downstream displays if deduplication were removed; source remains misleading."
fungicides,Бактофорт,бактофорт-283-02-2257-1,"2,5×10⁹ КОЕ/Мл Bacillus subtilis, штаммВ-2918 + 2,5×10⁹ КОЕ/Мл Bacillus amyloliquefaciens, штаммИМВВ-7100",[],false_positive_warning,repeated_fragment,"Multiplication sign in biological titre was treated as a component separator, creating a false repeated-fragment warning.",yes,no,no,"Changed normalization so ×/* become separators only when surrounded by spaces; scientific notation such as 2,5×10⁹ stays intact.",clean_after_fix,False positive removed; no active substance or concentration was invented. Risk if left unchanged: Audit noise only; may distract reviewers if left unchanged.
fungicides,Биокомпозит-Про,биокомпозит-про-018-02-3837-1,"10⁹ КОЕ/Мл Pseudomonas asplenii, штамм 11 RW (ВКПМ В-13395",[],malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
fungicides,Бисолбицид,бисолбицид-174-02-1916-1,"0,108 КОЕ/Мл Bacillus subtilis, штамм ВL01 + 0,108 КОЕ/Мл Bacillus subtilis, штамм ВL01",[],repeated_fragment,repeated_fragment,The same composition fragment or block is repeated exactly in the source composition field.,yes,yes,yes,Generic parser deduplication keeps one identical fragment for parsed output; warning remains because source row is corrupted.,still_flagged_manual_review,"Safe automatic parser handling, but source Excel still needs review. Risk if left unchanged: Duplicate components could confuse downstream displays if deduplication were removed; source remains misleading."
fungicides,Кагатник,кагатник-018-02-3295-1,300 г/л Бензойная кислота (в виде триэтаноламинной соли,"[{""name"": ""Бензойная кислота ( в виде триэтаноламинной соли"", ""concentration"": 300.0, ""unit"": ""г/л"", ""is_antidote"": false}]",malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
fungicides,Фитолекарь,фитолекарь-064-02-4922-1,ФЛО (250 г/л Флутриафол,[],malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
insecticides,Инсетим,инсетим,"(2х10⁹ КОЕ/см³ Bacillus thuringiensis, subsp.",[],malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
insecticides,Биостоп,биостоп,(10х10⁸ КОЕ/Мл Beauveria bassiana + 10х10⁹ КОЕ/Мл Bacillus,[],malformed_delimiters,malformed_delimiters,Unbalanced parentheses indicate truncated or malformed source composition text.,no,yes,yes,No parser rewrite; warning preserved to avoid hiding source-data corruption.,still_flagged_manual_review,Manual source-data review required before changing concentrations or substance names. Risk if left unchanged: Truncated or unbalanced text may omit substances or concentrations; unsafe for agronomic decisions without review.
