row_number / record_id,product_name,clean_product_name_candidate,registration_number,manufacturer,active_substances_raw,composition_found_in_product_name,composition_found_in_active_substances_raw,parsed_from_active_substances_raw_count,parsed_from_product_name_count,final_selected_composition_source,final_parsed_substance_count,parsed_substances_summary,repeated_fragment_warning,duplicated_substance_warning,empty_composition_warning,product_name_contains_composition_warning,inconsistent_duplicate_rows_warning,unresolved_concentration_warning,safe_auto_fix_possible,manual_review_required,suggested_action,notes
15,Оргамика С+,Оргамика С+,173-02-4900-0,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,"(не менее 5×10⁹ КОЕ/см³ Bacillus amyloliquefaciens, штамм OPS-32)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
16,Оргамика С+,Оргамика С+,173-02-4900-0,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,"(не менее 5×10⁹ КОЕ/см³ Bacillus amyloliquefaciens, штамм OPS-32)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
17,Серенада АСО,Серенада АСО,780-02-3408-1,ОГРН 123457411,"(1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens, штамм QST-713) Байер АГ (Германия)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
18,Серенада АСО,Серенада АСО,780-02-3408-1,ОГРН 123457411,"(1х10⁹ КОЕ/Мл Bacillus amyloliquefaciens, штамм QST-713) Байер АГ (Германия)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
19,Системика М,Системика М,173-02-4796-0,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,(1-5×10⁹ КОЕ/Мл Bacillus mojavensis штамм PS 17),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
20,Системика М,Системика М,173-02-4796-0,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,(1-5×10⁹ КОЕ/Мл Bacillus mojavensis штамм PS 17),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
21,Системика М,Системика М,173-02-4796-0,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,(1-5×10⁹ КОЕ/Мл Bacillus mojavensis штамм PS 17),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
22,Системика М,Системика М,173-02-4796-0,ООО «ОРГАНИК ПАРК» ОГРН 1127746020918,(1-5×10⁹ КОЕ/Мл Bacillus mojavensis штамм PS 17),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
23,Бактерра,Бактерра,008-02-2339-1,ООО «Ваше хозяйство» ОГРН 1025203566728,(10⁹ КОЕ/г Bacillus subtilis),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
24,Бактерра,Бактерра,008-02-2339-1,ООО «Ваше хозяйство» ОГРН 1025203566728,(10⁹ КОЕ/г Bacillus subtilis),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
25,Бактерра,Бактерра,008-02-2339-1,ООО «Ваше хозяйство» ОГРН 1025203566728,(10⁹ КОЕ/г Bacillus subtilis),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
26,Бактерра,Бактерра,008-02-2339-1,ООО «Ваше хозяйство» ОГРН 1025203566728,(10⁹ КОЕ/г Bacillus subtilis),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
27,Споробактерин,Споробактерин,,ООО «ОРТОН»,"(10⁸ КОЕ/г Bacillus subtilis + 10⁶ КОЕ/г Trichoderma viride, штамм 4097)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
28,Споробактерин,Споробактерин,,ООО «ОРТОН»,"(10⁸ КОЕ/г Bacillus subtilis + 10⁶ КОЕ/г Trichoderma viride, штамм 4097)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
29,Споробактерин,Споробактерин,,ООО «ОРТОН»,"(10⁸ КОЕ/г Bacillus subtilis + 10⁶ КОЕ/г Trichoderma viride, штамм 4097)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
30,Споробактерин,Споробактерин,,ООО «ОРТОН»,"(10⁸ КОЕ/г Bacillus subtilis + 10⁶ КОЕ/г Trichoderma viride, штамм 4097)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
31,Споробактерин,Споробактерин,,ООО «ОРТОН»,"(10⁸ КОЕ/г Bacillus subtilis + 10⁶ КОЕ/г Trichoderma viride, штамм 4097)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
32,Споробактерин,Споробактерин,,ООО «ОРТОН»,"(10⁸ КОЕ/г Bacillus subtilis + 10⁶ КОЕ/г Trichoderma viride, штамм 4097)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
33,Споробактерин,Споробактерин,,ООО «ОРТОН»,"(10⁸ КОЕ/г Bacillus subtilis + 10⁶ КОЕ/г Trichoderma viride, штамм 4097)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
34,Споробактерин,Споробактерин,,ООО «ОРТОН» ОГРН 1025004916573,"(10⁸ КОЕ/г Bacillus subtilis + 10⁶ КОЕ/г Trichoderma viride, штамм 4097)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
35,16.12.2022 15.12.2032,16.12.2022 15.12.2032,,,,,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
36,16.12.2022 15.12.2032,16.12.2022 15.12.2032,,,,,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
37,Бинал,Бинал,101-02-5083-0,ООО «БИОМ-ПРО» ОГРН 1075009002254,(10⁷ КОЕ/см³ Bacillus subtilis B1018 + 10⁶ КОЕ/см³ Trichoderma virideF2001),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
38,Бинал,Бинал,,ООО «БИОМ-ПРО»,(10⁷ КОЕ/см³ Bacillus subtilis B1018 + 10⁶ КОЕ/см³ Trichoderma virideF2001),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
39,Витаплан,Витаплан,139-02-4602-1,ООО Управляющая компания «АБТ-групп» ОГРН -,(10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2604D + 10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2605D),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
40,Витаплан,Витаплан,139-02-4602-1,ООО Управляющая компания «АБТ-групп» ОГРН -,(10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2604D + 10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2605D),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
41,Витаплан,Витаплан,139-02-4602-1,ООО Управляющая компания «АБТ-групп» ОГРН -,(10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2604D + 10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2605D),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
42,Витаплан,Витаплан,139-02-4602-1,ООО Управляющая компания «АБТ-групп» ОГРН -,(10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2604D + 10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2605D),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
43,Витаплан,Витаплан,139-02-4602-1,ООО Управляющая компания «АБТ-групп» ОГРН -,(10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2604D + 10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2605D),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
44,Витаплан,Витаплан,139-02-4602-1,ООО Управляющая компания «АБТ-групп» ОГРН -,(10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2604D + 10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2605D),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
45,Витаплан,Витаплан,139-02-4602-1,ООО Управляющая компания «АБТ-групп» ОГРН -,(10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2604D + 10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2605D),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
46,Витаплан,Витаплан,139-02-4602-1,ООО Управляющая компания «АБТ-групп» ОГРН -,(10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2604D + 10¹⁰ КОЕ/г Bacillus subtilis BКМ В-2605D),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
47,БисолбиСан,БисолбиСан,174-02-4328-1,ООО «Бисолби-Интер» (Санкт-Петербург) ОГРН -,(100×10⁶ КОЕ/Мл Bacillus subtilis штамм Ч-13),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
48,БисолбиСан,БисолбиСан,174-02-4328-1,ООО «Бисолби-Интер» (Санкт-Петербург) ОГРН -,(100×10⁶ КОЕ/Мл Bacillus subtilis штамм Ч-13),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
49,БисолбиСан,БисолбиСан,174-02-4328-1,ООО «Бисолби-Интер» (Санкт-Петербург) ОГРН -,(100×10⁶ КОЕ/Мл Bacillus subtilis штамм Ч-13),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
50,БисолбиСан,БисолбиСан,174-02-4328-1,ООО «Бисолби-Интер» (Санкт-Петербург) ОГРН -,(100×10⁶ КОЕ/Мл Bacillus subtilis штамм Ч-13),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
51,БисолбиСан,БисолбиСан,174-02-4328-1,ООО «Бисолби-Интер» (Санкт-Петербург) ОГРН -,(100×10⁶ КОЕ/Мл Bacillus subtilis штамм Ч-13),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
52,БисолбиСан,БисолбиСан,174-02-4328-1,ООО «Бисолби-Интер» (Санкт-Петербург) ОГРН -,(100×10⁶ КОЕ/Мл Bacillus subtilis штамм Ч-13),,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
53,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
54,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
55,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
56,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
57,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
58,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
59,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
60,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
61,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
62,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
63,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
64,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
65,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
66,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
67,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
68,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
69,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
70,Фитоспорин-М,Фитоспорин-М,016-02-2491-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(1×10⁹ спор/Мл Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
71,Фитоспорин-М,Фитоспорин-М,016-02-2490-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(2×10⁹ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
72,Фитоспорин-М,Фитоспорин-М,016-02-2490-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(2×10⁹ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
73,Фитоспорин-М,Фитоспорин-М,016-02-2490-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(2×10⁹ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
74,Фитоспорин-М,Фитоспорин-М,016-02-2490-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(2×10⁹ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
75,Фитоспорин-М,Фитоспорин-М,016-02-2490-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(2×10⁹ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
76,Фитоспорин-М,Фитоспорин-М,016-02-2489-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(100×10⁶ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
77,Фитоспорин-М,Фитоспорин-М,016-02-2489-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(100×10⁶ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
78,Фитоспорин-М,Фитоспорин-М,016-02-2489-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(100×10⁶ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
79,Фитоспорин-М,Фитоспорин-М,016-02-2489-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(100×10⁶ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
80,Фитоспорин-М,Фитоспорин-М,016-02-2489-1,ООО «НВП «БАШИНКОМ» ОГРН 1020202557121,"(100×10⁶ живых клеток и спор/г Bacillus subtilis, штамм 26 Д)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
81,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
82,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
83,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
84,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
85,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
86,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
87,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
88,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
89,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
90,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
91,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
92,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
93,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
94,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
95,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
96,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
97,Баксис,Баксис,242-01-1501-1,ООО «Инвиво» ОГРН 1082323000495,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм 63-Z)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
98,Алирин-Б,Алирин-Б,139-02-3307-1,ООО Управляющая компания «АБТ-групп» ОГРН -,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм В-10 ВИЗР)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
99,Алирин-Б,Алирин-Б,139-02-3307-1,ООО Управляющая компания «АБТ-групп» ОГРН -,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм В-10 ВИЗР)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
100,Алирин-Б,Алирин-Б,139-02-3307-1,ООО Управляющая компания «АБТ-групп» ОГРН -,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм В-10 ВИЗР)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
101,Алирин-Б,Алирин-Б,139-02-3307-1,ООО Управляющая компания «АБТ-групп» ОГРН -,"(10⁹ КОЕ/Мл Bacillus subtilis, штамм В-10 ВИЗР)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
102,Алирин-Б,Алирин-Б,139-02-2348-1,ООО Управляющая компания «АБТ-групп» ОГРН -,"(10⁹ КОЕ/г Bacillus subtilis, штамм В-10 ВИЗР)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
103,Алирин-Б,Алирин-Б,139-02-2348-1,ООО Управляющая компания «АБТ-групп» ОГРН -,"(10⁹ КОЕ/г Bacillus subtilis, штамм В-10 ВИЗР)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
104,Алирин-Б,Алирин-Б,139-02-2348-1,ООО Управляющая компания «АБТ-групп» ОГРН -,"(10⁹ КОЕ/г Bacillus subtilis, штамм В-10 ВИЗР)",,,0,0,,0,,,,yes,,,,,yes,manual review,source workbook audit; MongoDB was not changed
