pesticide_category,active_substance_ru,current_result,resolved_system,resolved_group,resolved_group_name,possible_english_candidate,confidence,recommendation
herbicides,Глифосат кислоты (изопропиламинная соль),resolved,HRAC,9,Inhibition of Enolpyruvyl Shikimate Phosphate Synthase (EPSPS),,high,already resolved
herbicides,Глифосат кислоты (калиевая соль)) Рейбоу Агросайенс Кфт.,resolved,HRAC,9,Inhibition of Enolpyruvyl Shikimate Phosphate Synthase (EPSPS),,high,already resolved
herbicides,Глифосат кислоты (изопропиламинная соль)) Рейбоу Агросайенс Кфт.,resolved,HRAC,9,Inhibition of Enolpyruvyl Shikimate Phosphate Synthase (EPSPS),,high,already resolved
herbicides,Глюфосинат аммоний,unknown,,,группа не определена,,low,needs manual review
herbicides,Десмедифам,unknown,,,группа не определена,,low,needs manual review
herbicides,десмедифама,unknown,,,группа не определена,,low,needs manual review
herbicides,дикамба (диметилалкиламинная соль),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба (диметиламинная соль),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба (натриевая соль),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,дикамба (диметиламинные соли),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,дикамба (2-этилгексиловые эфиры),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,дикамба (диметиламинные соли,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба (натриевая соль,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба (диметиламинная соль)) БАСФ Корпорэйшн,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,дикамба (диметиламинные соли)) Нуфарм ГмбХ & КО КГ,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба (диметиламинная соль)) Рейбоу Агросайенс Кфт.,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба (диметиламинная соль)) Тагрос Кемикалс Индия ПВТ Лимитед,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,дикамба кислота (2-этилгексиловые эфиры),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба кислота (натриевая соль),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,дикамба кислота (диметиламинная соль,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,дикамба кислота (диметиламинная соль)) Альбау Юроп Сарл,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба кислота) РЕД СУРКОС С.А.,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Дикамба кислоты (диэтилэтаноламмониева я соль),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Диклосулам,unknown,,,группа не определена,,low,needs manual review
herbicides,Диметенамид-Р,unknown,,,группа не определена,,low,needs manual review
herbicides,Диметенамид-Р) БАСФ Корпорэйшн,unknown,,,группа не определена,,low,needs manual review
herbicides,Дифлюфеникан,unknown,,,группа не определена,,low,needs manual review
herbicides,Изоксафлютол,unknown,,,группа не определена,isoxaflutole,high,add alias
herbicides,Имазалил,unknown,,,группа не определена,,low,needs manual review
herbicides,Имазамокс,resolved,HRAC,2,Inhibition of Acetolactate Synthase (ALS),,high,already resolved
herbicides,Имазамокс) БАСФ Агрокемикал Продактс Б.В.,resolved,HRAC,2,Inhibition of Acetolactate Synthase (ALS),,high,already resolved
herbicides,Имазамокс) Рейбоу Агросайенс Кфт.,resolved,HRAC,2,Inhibition of Acetolactate Synthase (ALS),,high,already resolved
herbicides,Имазапир,unknown,,,группа не определена,,low,needs manual review
herbicides,Имазетапир,resolved,HRAC,2,Inhibition of Acetolactate Synthase (ALS),,high,already resolved
herbicides,йодосульфурон-метил-нат рий,unknown,,,группа не определена,,low,needs manual review
herbicides,йодосульфурон-метил-нат рия,unknown,,,группа не определена,,low,needs manual review
herbicides,йодосульфуронметил-нат рия,unknown,,,группа не определена,,low,needs manual review
herbicides,карфентразон-этил,unknown,,,группа не определена,carfentrazone-ethyl,high,add alias
herbicides,Квизалофоп-П-тефурил,unknown,,,группа не определена,,low,needs manual review
herbicides,Квинмерак,unknown,,,группа не определена,,low,needs manual review
herbicides,кислоты галоксифоп-П-метила,unknown,,,группа не определена,,low,needs manual review
herbicides,Клетодим,resolved,HRAC,1,Inhibition of Acetyl CoA Carboxylase (ACCase),,high,already resolved
herbicides,Клодинафоп-пропаргил,unknown,,,группа не определена,,low,needs manual review
herbicides,клоквинтосет-мексил,unknown,,,группа не определена,,low,needs manual review
herbicides,кломазон,unknown,,,группа не определена,,low,needs manual review
herbicides,Клопиралид,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,клопиралид (диметилэтаноламинные соли),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,клопиралид (2-этилгексиловые эфиры),resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Клопиралид (2-этилгексиловый эфир,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Клопиралид (сложный 2-этилгексиловый эфир,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Клопиралид(2-этилгексил овый эфир,resolved,HRAC,4,Auxin Mimics,,high,already resolved
herbicides,Клотианидин,unknown,,,группа не определена,clothianidin,high,add alias
herbicides,Ленацил,unknown,,,группа не определена,,low,needs manual review
herbicides,лямбда-цигалотрин,unknown,,,группа не определена,lambda-cyhalothrin,high,add alias
herbicides,мезосульфурон-метил,unknown,,,группа не определена,,low,needs manual review
herbicides,Мезотрион,resolved,HRAC,27,Inhibition of Hydroxyphenyl Pyruvate Dioxygenase (HPPD),,high,already resolved
herbicides,Метазахлор,unknown,,,группа не определена,,low,needs manual review
herbicides,Метамитрон,unknown,,,группа не определена,,low,needs manual review
herbicides,Метамифоп,unknown,,,группа не определена,,low,needs manual review
herbicides,Метрибузин,resolved,HRAC,5,Inhibition of Photosynthesis at PSII - D1 Serine 264 binders,,high,already resolved
herbicides,Метсульфурон-метил,resolved,HRAC,2,Inhibition of Acetolactate Synthase (ALS),,high,already resolved
herbicides,мефенпир-диэтил,unknown,,,группа не определена,,low,needs manual review
herbicides,Мефентрифлуконазол,unknown,,,группа не определена,,low,needs manual review
herbicides,МЦПА,unknown,,,группа не определена,,low,needs manual review
herbicides,МЦПА (диметиламинная соль,unknown,,,группа не определена,,low,needs manual review
herbicides,"МЦПА кислоты (калиевая, натриевая соль",unknown,,,группа не определена,,low,needs manual review
herbicides,"МЦПА кислоты (смесь диметиламинной, калиевой, натриевой солей",unknown,,,группа не определена,,low,needs manual review
herbicides,Напропамид,unknown,,,группа не определена,,low,needs manual review
herbicides,никосульфурон,unknown,,,группа не определена,,low,needs manual review
herbicides,Оксифлуорфен,unknown,,,группа не определена,,low,needs manual review
herbicides,Пеларгоновая кислота,unknown,,,группа не определена,,low,needs manual review
herbicides,Пендиметалин,unknown,,,группа не определена,pendimethalin,high,add alias
herbicides,Пеноксулам,unknown,,,группа не определена,,low,needs manual review
herbicides,пиклорам,unknown,,,группа не определена,,low,needs manual review
herbicides,пиклорам (диметилэтаноламинные соли,unknown,,,группа не определена,,low,needs manual review
herbicides,Пиноксаден,unknown,,,группа не определена,pinoxaden,high,add alias
herbicides,Пиразосульфурон-этил,unknown,,,группа не определена,,low,needs manual review
herbicides,Пираклостробин,unknown,,,группа не определена,pyraclostrobin,high,add alias
herbicides,Пирафлуфен-этил,unknown,,,группа не определена,,low,needs manual review
herbicides,Пиридат,unknown,,,группа не определена,,low,needs manual review
herbicides,Пироксасульфон,unknown,,,группа не определена,,low,needs manual review
herbicides,Пироксулам,unknown,,,группа не определена,,low,needs manual review
herbicides,Прометрин,unknown,,,группа не определена,prometryn,high,add alias
herbicides,пропаквизафоп,unknown,,,группа не определена,propaquizafop,high,add alias
herbicides,Пропизохлор,unknown,,,группа не определена,,low,needs manual review
herbicides,Просульфокарб,unknown,,,группа не определена,,low,needs manual review
herbicides,Просульфурон,unknown,,,группа не определена,,low,needs manual review
herbicides,римсульфурон,unknown,,,группа не определена,,low,needs manual review
herbicides,С-Метолахлор,unknown,,,группа не определена,S-metolachlor,high,add alias
herbicides,сульфометурон-метил,unknown,,,группа не определена,,low,needs manual review
herbicides,Сульфометурон-метила кислота (калиевая соль,unknown,,,группа не определена,,low,needs manual review
herbicides,Темботрион,unknown,,,группа не определена,tembotrione,high,add alias
herbicides,тербутилазин,unknown,,,группа не определена,terbuthylazine,high,add alias
herbicides,Тиабендазол,unknown,,,группа не определена,,low,needs manual review
herbicides,тиенкарбазон-метил,unknown,,,группа не определена,,low,needs manual review
herbicides,тифенсульфурон-метил,unknown,,,группа не определена,,low,needs manual review
herbicides,триасульфурон,unknown,,,группа не определена,,low,needs manual review
herbicides,трибенурон-метил,resolved,HRAC,2,Inhibition of Acetolactate Synthase (ALS),,high,already resolved
herbicides,трифлусульфурон-метил,unknown,,,группа не определена,,low,needs manual review
herbicides,фенмедифам,unknown,,,группа не определена,,low,needs manual review
herbicides,Фенмедифама,unknown,,,группа не определена,,low,needs manual review
herbicides,феноксапроп-П-этил,unknown,,,группа не определена,fenoxaprop-P-ethyl,high,add alias
herbicides,феноксапроп-П-этил) Синтезия Кеми ГмбХ,unknown,,,группа не определена,,low,needs manual review
herbicides,флорасулам,unknown,,,группа не определена,florasulam,high,add alias
herbicides,флорасулам),unknown,,,группа не определена,,low,needs manual review
herbicides,"флорасулам) «Шандонг Вейфанг Рейбоу Кемикал Ко., Лтд.",unknown,,,группа не определена,,low,needs manual review
herbicides,флорасулам) Альбау Юроп Сарл,unknown,,,группа не определена,,low,needs manual review
herbicides,флорасулам) Рейнбоу Кропсайенсиз Кфт.,unknown,,,группа не определена,,low,needs manual review
herbicides,флорасулама,unknown,,,группа не определена,,low,needs manual review
herbicides,Флуазифоп-П-бутил,unknown,,,группа не определена,fluazifop-P-butyl,high,add alias
herbicides,флукарбазон,unknown,,,группа не определена,,low,needs manual review
herbicides,Флукарбазон натрия,unknown,,,группа не определена,,low,needs manual review
herbicides,Флуметсулам,unknown,,,группа не определена,,low,needs manual review
herbicides,Флумиоксазин,unknown,,,группа не определена,,low,needs manual review
herbicides,флуроксипир,unknown,,,группа не определена,,low,needs manual review
herbicides,флуроксипир) Синтезия Кеми ГмбХ,unknown,,,группа не определена,,low,needs manual review
herbicides,Флурохлоридона,unknown,,,группа не определена,,low,needs manual review
herbicides,флутриафола,unknown,,,группа не определена,,low,needs manual review
herbicides,флуфенацет,unknown,,,группа не определена,,low,needs manual review
herbicides,фомесафен,unknown,,,группа не определена,,low,needs manual review
herbicides,Фомесафен (натриевая соль,unknown,,,группа не определена,,low,needs manual review
herbicides,Форамсульфурон,unknown,,,группа не определена,,low,needs manual review
herbicides,хизалофоп-П-этил,resolved,HRAC,1,Inhibition of Acetyl CoA Carboxylase (ACCase),,high,already resolved
herbicides,хлоридазон,unknown,,,группа не определена,,low,needs manual review
herbicides,хлоримурон-этил,unknown,,,группа не определена,,low,needs manual review
herbicides,хлорсульфурон (диэтилэтаноламинные соли),unknown,,,группа не определена,,low,needs manual review
herbicides,хлорсульфурона,unknown,,,группа не определена,,low,needs manual review
herbicides,Цигалофоп-бутил,unknown,,,группа не определена,,low,needs manual review
herbicides,Циклоксидим,unknown,,,группа не определена,,low,needs manual review
herbicides,Этаметсульфурон-метил,unknown,,,группа не определена,,low,needs manual review
herbicides,этофумезат,unknown,,,группа не определена,,low,needs manual review
fungicides,Азоксистробин,resolved,FRAC,11,QoI-fungicides / strobilurins,,high,already resolved
fungicides,азоксистробина,unknown,,,группа не определена,,low,needs manual review
fungicides,Алюминия фосэтил,unknown,,,группа не определена,,low,needs manual review
fungicides,Аметоктрадин,unknown,,,группа не определена,,low,needs manual review
fungicides,Бензовиндифлупир,unknown,,,группа не определена,,low,needs manual review
fungicides,Бензойная кислота (в виде триэтаноламинной соли,unknown,,,группа не определена,,low,needs manual review
fungicides,Беномил,unknown,,,группа не определена,,low,needs manual review
fungicides,Биксафен,resolved,FRAC,7,SDHI-fungicides,,high,already resolved
fungicides,Боскалид,resolved,FRAC,7,SDHI-fungicides,,high,already resolved
fungicides,г/л Боскалид,resolved,FRAC,7,SDHI-fungicides,,high,already resolved
fungicides,г/л Карбендазим,resolved,FRAC,1,MBC-fungicides,,high,already resolved
fungicides,г/л Пираклостробин,resolved,FRAC,11,QoI-fungicides / strobilurins,,high,already resolved
fungicides,г/л Пропиконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,г/л Ципроконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,Диметоморф,resolved,FRAC,40,CAA-fungicides,,high,already resolved
fungicides,Димоксистробин,unknown,,,группа не определена,,low,needs manual review
fungicides,Дитианон,unknown,,,группа не определена,,low,needs manual review
fungicides,Дифеноконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,Додин,resolved,FRAC,U12,Guanidines,,high,already resolved
fungicides,Зоксамид,resolved,FRAC,22,Benzamides / thiazole-carboxamides,,high,already resolved
fungicides,Изопиразам,unknown,,,группа не определена,isopyrazam,high,add alias
fungicides,Изопротиолан,unknown,,,группа не определена,,low,needs manual review
fungicides,калий азотнокислый,unknown,,,группа не определена,,low,needs manual review
fungicides,калий фосфорнокислый,unknown,,,группа не определена,,low,needs manual review
fungicides,кальция гидроксид,unknown,,,группа не определена,,low,needs manual review
fungicides,Каптан,resolved,FRAC,M04,Phthalimides,,high,already resolved
fungicides,карбамид,unknown,,,группа не определена,,low,needs manual review
fungicides,Карбендазим,resolved,FRAC,1,MBC-fungicides,,high,already resolved
fungicides,Касугамицин,unknown,,,группа не определена,,low,needs manual review
fungicides,Комплекс полиоксинов,unknown,,,группа не определена,,low,needs manual review
fungicides,Крезоксим-метил,resolved,FRAC,11,QoI-fungicides / strobilurins,,high,already resolved
fungicides,Люфенурон,unknown,,,группа не определена,,low,needs manual review
fungicides,магний сернокислый,unknown,,,группа не определена,,low,needs manual review
fungicides,Мандипропамид,resolved,FRAC,40,CAA-fungicides,,high,already resolved
fungicides,Манкоцеб,resolved,FRAC,M03,Dithiocarbamates and relatives,,high,already resolved
fungicides,Масло чайного дерева,unknown,,,группа не определена,,low,needs manual review
fungicides,Меди гидроксид,unknown,,,группа не определена,,low,needs manual review
fungicides,Меди гидроокись,unknown,,,группа не определена,,low,needs manual review
fungicides,Меди сульфат,unknown,,,группа не определена,,low,needs manual review
fungicides,Меди сульфат трехосновный,unknown,,,группа не определена,,low,needs manual review
fungicides,Меди хлорокись,unknown,,,группа не определена,,low,needs manual review
fungicides,Медь оксихлорид,unknown,,,группа не определена,,low,needs manual review
fungicides,мепикват-хлорид,unknown,,,группа не определена,,low,needs manual review
fungicides,Металаксил,resolved,FRAC,4,Phenylamides / PA-fungicides,,high,already resolved
fungicides,Метирам,resolved,FRAC,M03,Dithiocarbamates and relatives,,high,already resolved
fungicides,Метконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,Мефеноксам,resolved,FRAC,4,Phenylamides / PA-fungicides,,high,already resolved
fungicides,мефеноксама,unknown,,,группа не определена,,low,needs manual review
fungicides,Оксатиапипролин,unknown,,,группа не определена,,low,needs manual review
fungicides,Пенконазол,unknown,,,группа не определена,,low,needs manual review
fungicides,Пентиопирад,unknown,,,группа не определена,,low,needs manual review
fungicides,Пидифлуметофен,unknown,,,группа не определена,pydiflumetofen,high,add alias
fungicides,Пикоксистробин,resolved,FRAC,11,QoI-fungicides / strobilurins,,high,already resolved
fungicides,Пираклостробин,resolved,FRAC,11,QoI-fungicides / strobilurins,,high,already resolved
fungicides,пираклостробина,unknown,,,группа не определена,,low,needs manual review
fungicides,Пириметанил,resolved,FRAC,9,Anilino-pyrimidines / AP,,high,already resolved
fungicides,Поли-бета-гидроксимасля ная кислота,unknown,,,группа не определена,,low,needs manual review
fungicides,Полидиметилдиаллиламм ония хлорид,unknown,,,группа не определена,,low,needs manual review
fungicides,прогексадион кальция,unknown,,,группа не определена,,low,needs manual review
fungicides,Проквиназид,unknown,,,группа не определена,,low,needs manual review
fungicides,Пропамокарб,resolved,FRAC,28,Carbamates,,high,already resolved
fungicides,Пропамокарб гидрохлорид,resolved,FRAC,28,Carbamates,,high,already resolved
fungicides,пропамокарб-гидрохлори д,resolved,FRAC,28,Carbamates,,high,already resolved
fungicides,Пропиконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,пропиконазола,unknown,,,группа не определена,,low,needs manual review
fungicides,Пропинеб,resolved,FRAC,M03,Dithiocarbamates and relatives,,high,already resolved
fungicides,Протиоконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,Прохлораз,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,Сера,resolved,FRAC,M02,Sulfur,,high,already resolved
fungicides,Спироксамин,resolved,FRAC,5,Amines / SBI Class II,,high,already resolved
fungicides,Тебуконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,тебуконазола,unknown,,,группа не определена,,low,needs manual review
fungicides,тетраконазол,unknown,,,группа не определена,,low,needs manual review
fungicides,Тиофанат - метил,resolved,FRAC,1,MBC-fungicides,,high,already resolved
fungicides,Тирам,resolved,FRAC,M03,Dithiocarbamates and relatives,,high,already resolved
fungicides,Триадименол,unknown,,,группа не определена,,low,needs manual review
fungicides,Триадимефон,unknown,,,группа не определена,,low,needs manual review
fungicides,тритиконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,Трифлоксистробин,resolved,FRAC,11,QoI-fungicides / strobilurins,,high,already resolved
fungicides,Фамоксадон,unknown,,,группа не определена,famoxadone,high,add alias
fungicides,Фенамидон,unknown,,,группа не определена,fenamidone,high,add alias
fungicides,Фенгексамид,resolved,FRAC,17,KRI-fungicides / SBI Class III,,high,already resolved
fungicides,фенпропидин,unknown,,,группа не определена,fenpropidin,high,add alias
fungicides,Фенпропиморф,unknown,,,группа не определена,,low,needs manual review
fungicides,Фитобактериомицин,unknown,,,группа не определена,,low,needs manual review
fungicides,флуазинам,resolved,FRAC,29,Uncouplers,,high,already resolved
fungicides,Флудиоксонил,resolved,FRAC,12,Phenylpyrroles / PP,,high,already resolved
fungicides,флуксапироксад,resolved,FRAC,7,SDHI-fungicides,,high,already resolved
fungicides,флуоксастробин,resolved,FRAC,11,QoI-fungicides / strobilurins,,high,already resolved
fungicides,Флуопиколид,resolved,FRAC,43,Benzamides,,high,already resolved
fungicides,Флуопирам,resolved,FRAC,7,SDHI-fungicides,,high,already resolved
fungicides,Флутриафол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,флутриафола,unknown,,,группа не определена,,low,needs manual review
fungicides,Фосфит натрия,unknown,,,группа не определена,,low,needs manual review
fungicides,фосэтил,unknown,,,группа не определена,,low,needs manual review
fungicides,Хлорокись меди,resolved,FRAC,M01,Copper compounds,,high,already resolved
fungicides,хлороталонил,resolved,FRAC,M05,Chloronitriles,,high,already resolved
fungicides,Циазофамид,resolved,FRAC,21,QiI-fungicides,,high,already resolved
fungicides,цимоксанил,resolved,FRAC,27,Cyanoacetamide-oxime,,high,already resolved
fungicides,цимоксанила,unknown,,,группа не определена,,low,needs manual review
fungicides,Цинеб,resolved,FRAC,M03,Dithiocarbamates and relatives,,high,already resolved
fungicides,Ципродинил,resolved,FRAC,9,Anilino-pyrimidines / AP,,high,already resolved
fungicides,Ципроконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
fungicides,цифлуфенамид,unknown,,,группа не определена,cyflufenamid,high,add alias
fungicides,Эмамектин бензоат,unknown,,,группа не определена,emamectin benzoate,high,add alias
fungicides,эпоксиконазол,resolved,FRAC,3,DMI-fungicides / SBI Class I,,high,already resolved
insecticides,Bacillus firmus( I-1582)) БАСФ Корпорэйшн,unknown,,,группа не определена,,low,needs manual review
insecticides,Абамектин,resolved,IRAC,6,Glutamate-gated chloride channel (GluCl) allosteric modulators,,high,already resolved
insecticides,Абамектин) «РОТАМ Лтд»,resolved,IRAC,6,Glutamate-gated chloride channel (GluCl) allosteric modulators,,high,already resolved
insecticides,Аверсектин С,unknown,,,группа не определена,,low,needs manual review
insecticides,Азадирахтин,unknown,,,группа не определена,,low,needs manual review
insecticides,Азоксистробин,unknown,,,группа не определена,azoxystrobin,high,add alias
insecticides,Альфа-ципермeтрин,unknown,,,группа не определена,,low,needs manual review
insecticides,Альфа-ципермeтрин) Агрия АД,unknown,,,группа не определена,,low,needs manual review
insecticides,Альфа-ципермeтрин) Ариста ЛайфСайенс Бенилюкс СПРЛ,unknown,,,группа не определена,,low,needs manual review
insecticides,Альфа-ципермeтрин) БАСФ Агро Б.В.,unknown,,,группа не определена,,low,needs manual review
insecticides,Альфа-ципермeтрин) Батор Агри Кфт.,unknown,,,группа не определена,,low,needs manual review
insecticides,альфа-циперметрин,resolved,IRAC,3A,Sodium channel modulators,,high,already resolved
insecticides,Алюминия фосфид,unknown,,,группа не определена,,low,needs manual review
insecticides,Алюминия фосфид) Детиа Дегеш ГмбХ,unknown,,,группа не определена,,low,needs manual review
insecticides,Алюминия фосфид) Рейнбоу Кропсайенсиз Кфт.,unknown,,,группа не определена,,low,needs manual review
insecticides,Ацетамиприд,resolved,IRAC,4A,Nicotinic acetylcholine receptor (nAChR) competitive modulators,,high,already resolved
insecticides,Ацетамиприд) Агрия АД,resolved,IRAC,4A,Nicotinic acetylcholine receptor (nAChR) competitive modulators,,high,already resolved
insecticides,"Ацетамиприд) Ниппон Сода Ко., Лтд",resolved,IRAC,4A,Nicotinic acetylcholine receptor (nAChR) competitive modulators,,high,already resolved
insecticides,"Ацетамиприд) НиппонСодаКо., Лтд",resolved,IRAC,4A,Nicotinic acetylcholine receptor (nAChR) competitive modulators,,high,already resolved
insecticides,ацетамиприда,unknown,,,группа не определена,,low,needs manual review
insecticides,бета-циперметрин,unknown,,,группа не определена,,low,needs manual review
insecticides,бета-циперметрин) Агро-Кеми Кфт. (Венгрия,unknown,,,группа не определена,,low,needs manual review
insecticides,бета-циперметрин) ПЕТЕРС & БУРГ Кфт.,unknown,,,группа не определена,,low,needs manual review
insecticides,бета-цифлутрин) Байер КропСайенс АГ,unknown,,,группа не определена,,low,needs manual review
